mol_id,product,exact_match,match_count,building_block_hit,reactants_total,reactants_match
mol_74,N=C(C(=O)O)C(c1c[nH]c2c(Cl)cccc12)C(C(=N)C(=O)O)c1c[nH]c2c(Cl)cccc12,0,-1,0,3,0
mol_75,N=C(Cc1c[nH]c2c(Cl)cccc12)C(=O)O,0,0,1,2,1
mol_76,N[C@@H](Cc1c[nH]c2c(Cl)c(Cl)ccc12)C(=O)O,0,-1,0,2,0
mol_77,[C-]#[N+]/C=C/c1c[nH]c2ccccc12,0,-1,0,2,0
mol_78,N=C(C(=O)O)C(c1c[nH]c2ccccc12)C(C(=N)C(=O)O)c1c[nH]c2ccccc12,0,-1,0,2,0
mol_83,O=C(O)[C@H](O)Cc1c[nH]c2ccccc12,0,-1,0,2,0
mol_84,CC(C)=CCC1=C(c2c[nH]c3ccccc23)C(=O)C(O)=C(c2c[nH]c3ccccc23)C1=O,0,-1,0,4,0
mol_85,OC1=C(c2c[nH]c3ccccc23)C(O)C(O)=C(c2c[nH]c3ccccc23)C1O,0,-1,0,3,0
mol_86,C=CC(C)(C)c1[nH]c2ccccc2c1C1=C(O)C(=O)C(c2c[nH]c3ccccc23)=C(O)C1=O,0,-1,0,3,0
mol_87,O=C1C(O)=C(c2c[nH]c3ccccc23)C(=O)C(O)=C1c1c[nH]c2ccccc12,0,0,1,2,1
mol_88,CC(C(=O)C(=O)O)c1c[nH]c2ccccc12,0,-1,0,2,0
mol_89,COn1cc(C[C@H](N)C(=O)O)c2ccccc21,0,0,1,2,1
mol_90,C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12,0,-1,0,3,0
mol_91,C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12,0,0,0,2,0
mol_92,CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1CC(C)C=O,0,0,0,5,0
mol_93,CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO,0,0,0,3,0
mol_94,CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O,0,-1,0,2,0
mol_95,O=C(O)C(=O)Cc1c[nH]c2ccc(O)cc12,0,0,1,2,1
mol_96,N[C@@H](CC(=O)c1cc(O)ccc1NC=O)C(=O)O,0,-1,0,2,0
mol_97,O=C(O)CCc1c[nH]c2ccccc12,0,0,1,2,1
mol_98,N[C@@H](CCC(=O)NCCc1ccc(O)cc1)C(=O)O,1,2,1,2,2
mol_99,O=C(/C=C/c1ccc(O)cc1)NCCc1ccc(O)cc1,1,2,1,2,2
mol_100,COc1cc(/C=C/C(=O)NCCc2ccc(O)cc2)cc(OC)c1O,1,2,1,2,2
mol_101,O=C(/C=C/c1ccccc1)NCCc1ccc(O)cc1,1,2,1,2,2
mol_102,CN(C)CCc1ccc(O)cc1,1,3,1,3,3
mol_103,CNCCc1ccc(O)cc1,1,2,1,2,2
mol_104,COc1cc(CC(O)C(=O)O)ccc1O,0,2,1,4,3
mol_105,COc1cc(CC(=O)C(=O)O)ccc1O,0,1,1,3,2
mol_106,COc1cc(C[C@H](N)C(=O)O)ccc1O,0,0,1,2,1
mol_107,CCCC1CNC(C(=O)O)C1,0,-1,0,6,0
mol_108,O=C(O)/C(O)=C\C=C1/C=NC(C(=O)O)C1,0,-1,0,3,0
mol_109,N[C@@H](Cc1ccc(C(=O)O)oc1=O)C(=O)O,0,-1,0,3,0
mol_110,N[C@@H](C/C(C=O)=C/C=C(/O)C(=O)O)C(=O)O,1,2,1,2,2
mol_111,O=C(O)C(=O)Cc1ccc(O)c(O)c1,0,0,1,2,1
mol_112,O=C(O)CCc1ccc(O)c(O)c1,0,1,1,2,2
mol_113,O=C(O)[C@H](Cc1ccc(O)cc1)N(O)O,0,0,1,2,1
mol_114,[C-]#[N+]/C=C/c1ccc(O[C@H]2O[C@@H](C)[C@@H](NC(C)=O)[C@@H](O)[C@@H]2O)cc1,0,-1,0,3,0
mol_115,[C-]#[N+]/C=C/c1ccc(O)cc1,0,0,1,2,1
mol_116,[C-]#[N+]c1cc2cc(O)c(O)cc2oc1=O,0,-1,0,4,0
mol_117,[C-]#[N+]/C(=C/C1=CC(=O)C(=O)C=C1)C(=O)O,0,0,1,3,1
mol_118,[C-]#[N+]/C(=C/c1ccc(O)cc1)C(=O)O,0,-1,0,2,0
mol_119,COc1c(C)cc(C[C@H](N)C(=O)O)cc1O,0,0,1,3,1
mol_120,Cc1cc(C[C@H](N)C(=O)O)cc(O)c1O,0,-1,0,2,0
mol_121,O=C(O)C(O)Cc1cc(I)c(O)c(I)c1,0,2,1,3,3
mol_122,O=C(O)C(=O)Cc1cc(I)c(O)c(I)c1,0,1,1,2,2
mol_123,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(OS(=O)(=O)O)c(I)c2)c(I)c1)C(=O)O,0,-1,0,3,0
